,0
RVNUSDT,0.02293
SALDUSDT,0.01091
SANDBTC,1.397e-05
SANDUSDC,0.60983
SANDUSDT,0.61137
SATSUSDT,6e-07
SCRTUSDT,0.5485
SCUSDT,0.006841
SDUSDT,0.7566
SEIUSDC,0.6644
SEIUSDT,0.4004
SFUNDUSDT,3.42438
SHIBUSDC,1.09925e-05
SHIBUSDT,1.09933e-05
SHRAPUSDT,0.36896
SIDUSUSDT,0.0060986
SISUSDT,0.42005
SLPUSDT,0.003505
SNXUSDT,4.042
SOLBTC,0.0027704
SOLEUR,109.36
SOLOUSDT,0.1844
SOLUSDC,120.52
SOLUSDT,120.53
SONUSDT,0.000399
SPELLUSDT,0.00068192
SQRUSDT,0.565
SSVUSDT,24.0217
STETHUSDT,2268.67
STGUSDT,0.6444
STXUSDT,1.52318
SUIUSDC,0.8305
SUIUSDT,0.8293
SUNUSDT,0.007462
SUSHIUSDT,1.251
SWEATUSDT,0.01214
TAPUSDT,0.003516
TELUSDT,0.001398
TENETUSDT,0.098
THETAUSDT,1.3993
THNUSDT,0.017735
TIAUSDT,13.7206
TIMEUSDT,20.1963
TOKENUSDT,0.03891
TOMIUSDT,1.806
TONUSDT,2.2908
TRCUSDT,0.09903
TRVLUSDT,0.034715
TRXUSDC,0.1058
TRXUSDT,0.10582
TURBOSUSDT,0.002648
TUSDUSDT,0.997
TWTUSDT,1.2761
UMAUSDT,2.2926
UNIUSDT,6.9335
USDCEUR,0.908
USDCUSDT,0.9998
USDDUSDT,0.9919
USDTBRZ,4.939
USDTEUR,0.908
USTCUSDT,0.03521
VANRYUSDT,0.06006
VELOUSDT,0.003801
VICUSDT,0.835
VINUUSDT,2.868e-08
VPADUSDT,0.04854
VPRUSDT,0.05434
VRAUSDT,0.00703
VRTXUSDT,0.3394
WAVESUSDT,2.86
WAXPUSDT,0.07535
WBTCBTC,0.9983
WBTCUSDT,43481.95
WEMIXUSDT,3.3285
WLDUSDC,3.8032
WLDUSDT,3.8025
WOOUSDT,0.4738
WWYUSDT,0.0064
XAIUSDT,0.6556
XAVAUSDT,1.2415
XCADUSDT,1.2822
XDCUSDT,0.04804
XECUSDT,3.383e-05
XEMUSDT,0.04002
XETAUSDT,0.020447
XLMBTC,3.0085e-06
XLMUSDC,0.13093
XLMUSDT,0.13101
XRPBTC,1.476e-05
XRPEUR,0.5831
XRPUSDC,0.6426
XRPUSDT,0.6424
XTZUSDT,1.0392
YFIUSDT,8489.17
ZENUSDT,10.8619
ZIGUSDT,0.03163
ZILUSDT,0.02675
ZRXUSDT,0.3676
ZTXUSDT,0.02213
